Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop
831;"Größe 32 - 34 - 36 - 38:select:1";40:1;VIP-0051_champagner_40;;4250781849749;;43.000000;0.000000;0.00;3;0;0;0;;;0;
831;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-0051_champagner_38;;4250781849732;;43.000000;0.000000;0.00;3;0;0;0;;;0;
831;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-0051_champagner_34;;4250781849718;;43.000000;0.000000;0.00;1;1;0;1;;;0;
832;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5014_black_S;;;;29.500000;0.000000;0.00;5;1;0;1;;;0;
832;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5014_black_M;;;;29.500000;0.000000;0.00;6;1;0;0;;;0;
832;"Größe 32 - 34 - 36 - 38:select:1";42:1;VIP-5014_black_L;;;;29.500000;0.000000;0.00;5;0;0;0;;;0;
833;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5014_green_M;;;;29.500000;0.000000;0.00;5;1;0;0;;;0;
833;"Größe 32 - 34 - 36 - 38:select:1";42:1;VIP-5014_green_L;;;;29.500000;0.000000;0.00;5;0;0;0;;;0;
833;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5014_green_S;;;;29.500000;0.000000;0.00;5;1;0;1;;;0;
834;"Größe 32 - 34 - 36 - 38:select:1";42:1;VIP-5014_red_L;;;;29.500000;0.000000;0.00;5;1;0;0;;;0;
834;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5014_red_M;;;;29.500000;0.000000;0.00;6;0;0;0;;;0;
834;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5014_red_S;;;;29.500000;0.000000;0.00;5;1;0;1;;;0;
835;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5014_blue_M;;;;29.500000;0.000000;0.00;6;1;0;0;;;0;
835;"Größe 32 - 34 - 36 - 38:select:1";42:1;VIP-5014_blue_L;;;;29.500000;0.000000;0.00;5;0;0;0;;;0;
835;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5014_blue_S;;;;29.500000;0.000000;0.00;5;1;0;1;;;0;
836;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5014_gold_M;;;;29.500000;0.000000;0.00;6;1;0;0;;;0;
836;"Größe 32 - 34 - 36 - 38:select:1";42:1;VIP-5014_gold_L;;;;29.500000;0.000000;0.00;5;0;0;0;;;0;
836;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5014_gold_S;;;;29.500000;0.000000;0.00;5;1;0;1;;;0;
837;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5015_silver_M;;;;29.500000;0.000000;0.00;5;1;0;0;;;0;
837;"Größe 32 - 34 - 36 - 38:select:1";42:1;VIP-5015_silver_L;;;;29.500000;0.000000;0.00;5;0;0;0;;;0;
837;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5015_silver_S;;;;29.500000;0.000000;0.00;5;1;0;1;;;0;
838;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5015_grey_M;;;;43.000000;0.000000;0.00;6;1;0;0;;;0;
838;"Größe 32 - 34 - 36 - 38:select:1";42:1;VIP-5015_grey_L;;;;43.000000;0.000000;0.00;5;0;0;0;;;0;
838;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5015_grey_S;;;;43.000000;0.000000;0.00;5;1;0;1;;;0;
839;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5015_apricot_M;;;;43.000000;0.000000;0.00;6;1;0;0;;;0;
839;"Größe 32 - 34 - 36 - 38:select:1";42:1;VIP-5015_apricot_L;;;;43.000000;0.000000;0.00;4;0;0;0;;;0;
