ID;Aktiv;Image;Preis inkl. Steuern;Einkaufspreis;Hersteller-Artikelnummer.;Auf Lager;Name;Lieferant;Standort;Preis inklusive % Reduktion;Reduktion %;Reduktionshöhe;Preis inklusive Reduktion;Rabatt startet;Rabattende;Preis exklusive Steuern;Pos.;Steuerregel
3591;Nein;--;189.21;85.00;0334_Phantom Black;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;159.00;-;19%
3668;Nein;--;105.91;44.00;0374_Aqua Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;89.00;-;19%
3590;Nein;--;189.21;72.00;0335_Rio Red;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;159.00;-;19%
3669;Nein;--;105.91;44.00;0374_Orchid Lilac;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;89.00;-;19%
3589;Nein;--;189.21;72.00;0335_Iron Grey;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;159.00;-;19%
3670;Nein;--;105.91;44.00;0374_Moonlight Jade;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;89.00;-;19%
3587;Nein;--;153.51;55.00;0336_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;129.00;-;19%
3671;Nein;--;105.91;44.00;0374_Pearl Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;89.00;-;19%
3586;Nein;--;153.51;58.00;0338_Black & Cream;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;129.00;-;19%
3672;Nein;--;153.51;58.00;0372_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;129.00;-;19%
3585;Nein;--;153.51;58.00;0338_Rio Red;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;129.00;-;19%
3673;Nein;--;153.51;58.00;0372_Dawn Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;129.00;-;19%
3584;Nein;--;165.41;66.00;0339_Phantom Black;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3674;Nein;--;129.71;55.00;0371_Pearl Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;109.00;-;19%
3583;Nein;--;165.41;66.00;0339_Virtual Red;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3675;Nein;--;129.71;55.00;0371_Aqua Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;109.00;-;19%
3582;Nein;--;165.41;66.00;0339_Ice Green;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3676;Nein;--;117.81;50.00;0370_Aqua Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;99.00;-;19%
3581;Nein;--;165.41;66.00;0339_Rio Red;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3677;Nein;--;117.81;50.00;0370_French Vanilla;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;99.00;-;19%
3578;Nein;--;105.91;39.00;0038_Powder Blue;10;-1;CK-C; ;46.60;56.00;0.00;0.00;01.01.2018 0:00;25.01.2019 0:00;89.00;-;19%
3678;Nein;--;117.81;50.00;0370_Pearl Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;99.00;-;19%
3577;Nein;--;139.00;0.00;0313_Twilight Blue;12;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;-
3679;Nein;--;117.81;47.00;0369_Ghost Grey;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;99.00;-;19%
3576;Nein;--;139.00;0.00;0313_Salsa Red;12;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;-
3680;Nein;--;117.81;47.00;0369_Rio Red;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;99.00;-;19%
3575;Nein;--;129.00;57.00;0275_Pearl Pink;12;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;129.00;-;-
3681;Nein;--;177.31;71.00;0368_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;149.00;-;19%
3574;Nein;--;109.00;46.00;0270_Salsa Red;21;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;109.00;-;-
3682;Nein;--;177.31;71.00;0368_Galapagos Green;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;149.00;-;19%
3573;Nein;--;139.00;55.00;0263_Pearl Pink;18;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;-
3683;Nein;--;165.41;65.00;0367_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3572;Nein;--;139.00;55.00;0263_Salsa Red;21;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;-
3684;Nein;--;153.51;60.00;0366_Phantom Black;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;129.00;-;19%
3571;Nein;--;149.00;65.00;0181_Pearl Pink;12;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;149.00;-;-
3685;Nein;--;148.75;56.00;0365_Aqua Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;125.00;-;19%
3570;Nein;--;117.81;45.00;0164_Twilight Blue;24;-1;CK-C; ;0.00;0.00;0.00;0.00;01.01.2018 0:00;25.01.2019 0:00;99.00;-;19%
3686;Nein;--;148.75;56.00;0365_Geranium Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;125.00;-;19%
3569;Nein;--;117.81;45.00;0164_Dawn Pink;24;-1;CK-C; ;0.00;0.00;0.00;0.00;01.01.2018 0:00;25.01.2019 0:00;99.00;-;19%
3687;Nein;--;105.91;45.00;0364_Pearl Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;89.00;-;19%
3567;Nein;--;139.00;32.00;0098_Twilight Blue;12;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;116.81;-;19%
3688;Nein;--;105.91;45.00;0364_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;89.00;-;19%
3566;Nein;--;117.81;40.00;0094C_CH_French Vanilla;12;-1;CK-C; ;0.00;0.00;0.00;0.00;01.01.2018 0:00;25.01.2019 0:00;99.00;-;19%
3689;Nein;--;136.85;48.00;0363_Pearl Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;115.00;-;19%
3565;Nein;--;117.81;40.00;0093_Galapagos Green;30;-1;CK-C; ;0.00;0.00;0.00;0.00;01.01.2018 0:00;25.01.2019 0:00;99.00;-;19%
3690;Nein;--;136.85;48.00;0363_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;115.00;-;19%
3564;Nein;--;148.75;52.00;0092_Rio Red;14;-1;CK-C; ;0.00;0.00;0.00;0.00;01.01.2018 0:00;25.01.2019 0:00;125.00;-;19%
3691;Nein;--;136.85;48.00;0363_French Vanilla;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;115.00;-;19%
3563;Nein;--;160.65;49.00;0086_Twilight Blue;22;-1;CK-C; ;0.00;0.00;0.00;0.00;01.01.2018 0:00;25.01.2019 0:00;135.00;-;19%
3692;Nein;--;136.85;48.00;0363_Rio Red;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;115.00;-;19%
